UID No,Manufacturer,Engine Identification,Combustor Description,Eng Type,B/P Ratio,Pressure Ratio,Rated Thrust (kN),Fuel Flow T/O (kg/sec),Fuel Flow C/O (kg/sec),Fuel Flow App (kg/sec),Fuel Flow Idle (kg/sec),Fuel LTO Cycle (kg)  ,Fuel Heat of Combustion (MJ/kg),Fuel Hydrogen Content (% mass),Fuel Aromatics Content (% vol),nvPM EImass T/O (mg/kg),nvPM EImass C/O (mg/kg),nvPM EImass App (mg/kg),nvPM EImass Idle (mg/kg),nvPM EImass Max (mg/kg),nvPM EInum T/O (#/kg),nvPM EInum C/O (#/kg),nvPM EInum App (#/kg),nvPM EInum Idle (#/kg),nvPM EInum Max (#/kg),nvPM EImass_SL T/O (mg/kg),nvPM EImass_SL C/O (mg/kg),nvPM EImass_SL App (mg/kg),nvPM EImass_SL Idle (mg/kg),nvPM EInum_SL T/O (#/kg),nvPM EInum_SL C/O (#/kg),nvPM EInum_SL App (#/kg),nvPM EInum_SL Idle (#/kg),Ambient Baro Min (kPa),Ambient Baro Max (kPa),Ambient Temp Min (K),Ambient Temp Max (K)
01P08GE194,General Electric Company,CF34-8C5A3,LEC,TF,5.13,25.57957652,64.54369564,0.718074051,0.583569347,0.193551967,0.065528957,255.8679089,43.18921646,13.67166667,17.51666667,56.87378263,10.06094508,1.189524613,1.177670075,56.87378263,4.34E+14,1.46E+14,1.88E+12,1.44E+12,4.34E+14,68.71287767,12.69760309,1.326996624,1.35835035,1.33E+15,5.29E+14,3.29E+12,2.95E+12,98.1,98.6,290.7,296.3
01P08GE195,General Electric Company,CF34-8E2,LEC,TF,5.13,22.53012453,55.20243025,0.588059466,0.483375987,0.16817502,0.060215742,222.8026899,43.18921646,13.67166667,17.51666667,11.14260553,2.434939744,0.841050749,1.996253736,11.14260553,1.56E+14,3.01E+13,1.69E+12,3.39E+12,1.56E+14,14.05477574,3.037089346,0.951640642,2.331391991,5.68E+14,1.03E+14,2.98E+12,9.32E+12,98.1,98.6,290.7,296.3
01P08GE196,General Electric Company,CF34-8E2A1,LEC,TF,5.13,23.85712592,59.16134748,0.641542455,0.524789274,0.178853939,0.062464636,236.5867448,43.18921646,13.67166667,17.51666667,25.71047723,3.405651786,0.957224345,1.484793684,25.71047723,2.67E+14,6.30E+13,1.83E+12,2.37E+12,2.67E+14,32.00825248,4.292208798,1.075246598,1.721676493,9.31E+14,2.25E+14,3.20E+12,5.69E+12,98.1,98.6,290.7,296.3
01P08GE197,General Electric Company,CF34-8E5,LEC,TF,5.13,24.03310019,59.69513408,0.648932422,0.530489149,0.180302263,0.062768183,238.4706375,43.18921646,13.67166667,17.51666667,28.29895818,3.729933114,0.977997175,1.436590074,28.29895818,2.84E+14,6.91E+13,1.84E+12,2.25E+12,2.84E+14,35.14059479,4.704908045,1.097658114,1.664558767,9.79E+14,2.48E+14,3.22E+12,5.33E+12,98.1,98.6,290.7,296.3
01P08GE198,General Electric Company,CF34-8E5A1,LEC,TF,5.13,24.94007048,62.49751369,0.688446479,0.560878085,0.187939526,0.064363076,248.4625433,43.18921646,13.67166667,17.51666667,43.94228711,6.549976175,1.097673077,1.250967251,43.94228711,3.72E+14,1.09E+14,1.87E+12,1.74E+12,3.72E+14,53.73221292,8.27824948,1.227244547,1.44503878,1.21E+15,3.95E+14,3.28E+12,3.77E+12,98.1,98.6,290.7,296.3
01P08GE199,General Electric Company,CF34-8E5A2,LEC,TF,5.13,25.57957652,64.54369564,0.718074051,0.583569347,0.193551967,0.065528957,255.8679089,43.18921646,13.67166667,17.51666667,56.87378263,10.06094508,1.189524613,1.177670075,56.87378263,4.34E+14,1.46E+14,1.88E+12,1.44E+12,4.34E+14,68.71287767,12.69760309,1.326996624,1.35835035,1.33E+15,5.29E+14,3.29E+12,2.95E+12,98.1,98.6,290.7,296.3
01P08GE200,General Electric Company,CF34-8E6,LEC,TF,5.13,24.03310019,59.69513408,0.648932422,0.530489149,0.180302263,0.062768183,238.4706375,43.18921646,13.67166667,17.51666667,28.29895818,3.729933114,0.977997175,1.436590074,28.29895818,2.84E+14,6.91E+13,1.84E+12,2.25E+12,2.84E+14,35.14059479,4.704908045,1.097658114,1.664558767,9.79E+14,2.48E+14,3.22E+12,5.33E+12,98.1,98.6,290.7,296.3
01P08GE201,General Electric Company,CF34-8E6A1,LEC,TF,5.13,24.94007048,62.49751369,0.688446479,0.560878085,0.187939526,0.064363076,248.4625433,43.18921646,13.67166667,17.51666667,43.94228711,6.549976175,1.097673077,1.250967251,43.94228711,3.72E+14,1.09E+14,1.87E+12,1.74E+12,3.72E+14,53.73221292,8.27824948,1.227244547,1.44503878,1.21E+15,3.95E+14,3.28E+12,3.77E+12,98.1,98.6,290.7,296.3
01P11GE202,General Electric Company,CF34-10A16/16-B,SAC,TF,5.7,25.42511548,76.95423394,0.788575926,0.649919731,0.222143785,0.084246182,303.6481451,43.07965217,13.735,19.06666667,55.81301361,33.1541778,1.636618663,12.91740973,55.81301361,4.57E+14,4.00E+14,9.31E+13,6.50E+14,6.50E+14,66.92840036,41.06338816,2.954905711,22.23839374,1.34E+15,1.36E+15,9.08E+14,5.71E+15,98.1,98.6,293.2,298.4
01P08GE203,General Electric Company,CF34-10E2A1,SAC,TF,5.09,25.01492694,75.44183859,0.769908241,0.635030659,0.218291885,0.083499187,298.8089766,43.07965217,13.735,19.06666667,52.00956772,31.32339119,1.641522515,13.41632476,52.00956772,4.50E+14,3.93E+14,9.30E+13,6.73E+14,6.73E+14,62.51293341,39.02495797,2.968139294,23.09965379,1.33E+15,1.37E+15,9.10E+14,5.92E+15,98.1,98.6,293.2,298.4
01P17GE204,General Electric Company,GEnx-1B54/P2,TAPS,TF,9.3928,35.93995604,255.3279697,1.886566515,1.552672087,0.517952156,0.178413022,686.8213416,43.15346391,13.79333333,17.68333333,1.655951876,1.610743235,2.271678837,2.436627856,6.873217301,79425443595,76740548058,3.51E+13,3.05E+13,1.91E+14,2.215423707,2.157710629,2.983099623,3.135641651,1.10E+11,1.06E+11,1.50E+14,1.20E+14,97.4,98.2,289.9,297.9
01P17GE205,General Electric Company,GEnx-1B58/P2,TAPS,TF,9.2336,37.99154866,271.3371223,2.031590095,1.669472138,0.548305049,0.183793133,724.007605,43.15346391,13.79333333,17.68333333,1.655318275,1.651411315,2.505173435,2.37936062,6.873217301,78555315549,78049541560,4.52E+13,2.64E+13,1.91E+14,2.216369619,2.214849936,3.348073969,3.01920888,1.08E+11,1.08E+11,2.05E+14,9.85E+13,97.4,98.2,289.9,297.9
01P17GE206,General Electric Company,GEnx-1B64/P2,TAPS,TF,8.9854,41.42720078,298.0309054,2.279679954,1.868548816,0.599926388,0.19295318,787.3842954,43.15346391,13.79333333,17.68333333,1.696732903,1.654021079,3.015519183,2.31476497,6.873217301,76308508553,79330181069,6.59E+13,2.18E+13,1.91E+14,2.28551852,2.213036017,4.147889024,2.883454598,1.05E+11,1.10E+11,3.28E+14,7.55E+13,97.4,98.2,289.9,297.9
01P17GE207,General Electric Company,GEnx-1B67/P2,TAPS,TF,8.8917,42.8037752,308.7066393,2.381360258,1.950195453,0.620476645,0.19653152,812.9464967,43.15346391,13.79333333,17.68333333,1.730959688,1.651442431,3.262123342,2.296277095,6.873217301,76039295062,79057502184,7.55E+13,2.06E+13,1.91E+14,2.33814294,2.209436342,4.536112096,2.843763394,1.05E+11,1.09E+11,3.88E+14,6.96E+13,97.4,98.2,289.9,297.9
01P17GE208,General Electric Company,GEnx-1B70/72/P2,TAPS,TF,8.7863,44.46546316,321.6064844,2.507484153,2.050111786,0.645424229,0.200840648,844.1423161,43.15346391,13.79333333,17.68333333,1.785959889,1.653648165,3.583143725,2.277220225,6.873217301,76792382794,78266551863,8.75E+13,1.95E+13,1.91E+14,2.418960911,2.214774502,5.042448061,2.80293118,1.06E+11,1.08E+11,4.67E+14,6.39E+13,97.4,98.2,289.9,297.9
01P17GE209,General Electric Company,GEnx-1B70/75/P2,TAPS,TF,8.7863,44.46546316,321.6064844,2.507484153,2.050111786,0.645424229,0.200840648,844.1423161,43.15346391,13.79333333,17.68333333,1.785959889,1.653648165,3.583143725,2.277220225,6.873217301,76792382794,78266551863,8.75E+13,1.95E+13,1.91E+14,2.418960911,2.214774502,5.042448061,2.80293118,1.06E+11,1.08E+11,4.67E+14,6.39E+13,97.4,98.2,289.9,297.9
01P17GE210,General Electric Company,GEnx-1B70/P2,TAPS,TF,8.7863,44.46546316,321.6064844,2.507484153,2.050111786,0.645424229,0.200840648,844.1423161,43.15346391,13.79333333,17.68333333,1.785959889,1.653648165,3.583143725,2.277220225,6.873217301,76792382794,78266551863,8.75E+13,1.95E+13,1.91E+14,2.418960911,2.214774502,5.042448061,2.80293118,1.06E+11,1.08E+11,4.67E+14,6.39E+13,97.4,98.2,289.9,297.9
01P17GE211,General Electric Company,GEnx-1B74/75/P2,TAPS,TF,8.6289,47.04101144,341.1786633,2.709458782,2.20382922,0.684092983,0.207669734,892.8498272,43.15346391,13.79333333,17.68333333,1.894367426,1.675008114,4.114368484,2.253074149,6.873217301,81138929286,76746123721,1.07E+14,1.82E+13,1.91E+14,2.568006417,2.251449865,5.879468778,2.752560963,1.12E+11,1.06E+11,5.96E+14,5.78E+13,97.4,98.2,289.9,297.9
01P17GE212,General Electric Company,GEnx-1B75/P2,TAPS,TF,8.5981,47.57313264,345.1865117,2.752172069,2.235832686,0.692169448,0.209206909,903.2045864,43.15346391,13.79333333,17.68333333,1.918753019,1.682381009,4.233917698,2.248688159,6.873217301,82545766313,76484388306,1.11E+14,1.80E+13,1.91E+14,2.59979175,2.263385917,6.067124304,2.743725422,1.14E+11,1.06E+11,6.24E+14,5.69E+13,97.4,98.2,289.9,297.9
01P17GE213,General Electric Company,GEnx-1B76/P2,TAPS,TF,8.5657,48.11205847,349.1854637,2.796271333,2.268088148,0.700283713,0.210794482,913.7385146,43.15346391,13.79333333,17.68333333,1.943859805,1.690851419,4.348439183,2.244448679,6.873217301,84144552859,76260803564,1.15E+14,1.78E+13,1.91E+14,2.631843604,2.276876329,6.246478493,2.735305377,1.16E+11,1.05E+11,6.51E+14,5.60E+13,97.4,98.2,289.9,297.9
01P17GE214,General Electric Company,GEnx-1B76A/P2,TAPS,TF,8.5657,48.11205847,349.1854637,2.796271333,2.268088148,0.700283713,0.210794482,913.7385146,43.15346391,13.79333333,17.68333333,1.943859805,1.690851419,4.348439183,2.244448679,6.873217301,84144552859,76260803564,1.15E+14,1.78E+13,1.91E+14,2.631843604,2.276876329,6.246478493,2.735305377,1.16E+11,1.05E+11,6.51E+14,5.60E+13,97.4,98.2,289.9,297.9
01P17GE215,General Electric Company,GEnx-2B67/P,TAPS,TF,7.9872,43.54547867,299.8101369,2.452926901,2.008658345,0.641946644,0.218807934,863.5734027,43.15346391,13.79333333,17.68333333,1.742179848,1.65129712,3.456793329,2.286689449,6.873217301,76091459693,78928798725,8.28E+13,2.00E+13,1.91E+14,2.354960918,2.209505935,4.843093743,2.82317139,1.05E+11,1.09E+11,4.36E+14,6.66E+13,97.4,98.2,289.9,297.9
01P21GE216,General Electric Company,GE90-110B1,DAC,TF,7.34,40.36,492.6,4.226111111,3.375,1.028611111,0.333611111,1390.296667,43.49,13.65,16.4,12.47515318,9.535853362,6.947401033,5.756810738,12.47515318,9.15E+13,1.10E+14,1.40E+14,1.75E+14,1.75E+14,14.73967025,11.7016207,9.21594604,8.206674824,2.60E+14,3.71E+14,6.37E+14,9.87E+14,97.97,98.32,295.9,298.7
01P21GE217,General Electric Company,GE90-115B,DAC,TF,7.08,42.94,513.9,4.599722222,3.566111111,1.073055556,0.341111111,1453.581667,43.49,13.65,16.4,14.94023753,9.656871371,7.31967136,5.314780514,14.94023753,8.94E+13,1.03E+14,1.43E+14,1.63E+14,1.63E+14,17.37502413,11.75946331,9.677353788,7.59219967,2.33E+14,3.36E+14,6.44E+14,9.25E+14,97.97,98.32,295.9,298.7
01P08CM102,CFM International,CFM56-5B1/3,Tech Insertion,TF,5.5,30.2,133.4,1.318,1.063,0.347,0.108,448,43.27,13.83,18.7,78.7,53.4,1.94,0.73,78.7,3.84E+14,4.27E+14,7.87E+13,2.42E+13,4.34E+14,90.5,63.5,2.97,1.06,9.10E+14,1.18E+15,4.37E+14,1.20E+14,99.5,100.2,295.5,311.8
01P08CM103,CFM International,CFM56-5B2/3,Tech Insertion,TF,5.5,31.3,137.9,1.385,1.107,0.358,0.111,463,43.27,13.83,18.7,84.2,58,2.11,0.72,84.2,3.66E+14,4.22E+14,8.49E+13,2.22E+13,4.34E+14,96,68.4,3.23,1.03,8.42E+14,1.13E+15,4.72E+14,1.07E+14,99.5,100.2,295.5,311.8
01P08CM104,CFM International,CFM56-5B3/3,Tech Insertion,TF,5.4,32.6,142.3,1.462,1.153,0.369,0.113,478,43.27,13.83,18.7,88.5,62.7,2.31,0.71,88.5,3.40E+14,4.15E+14,9.14E+13,2.04E+13,4.34E+14,100,73.4,3.51,0.99,7.58E+14,1.07E+15,5.05E+14,9.47E+13,99.5,100.2,295.5,311.8
01P08CM105,CFM International,CFM56-5B4/3,Tech Insertion,TF,5.7,27.3,120.1,1.142,0.939,0.316,0.102,407,43.27,13.83,18.7,61.3,41.4,1.47,0.77,61.3,4.16E+14,4.33E+14,6.18E+13,3.18E+13,4.33E+14,71.7,50.5,2.26,1.18,1.09E+15,1.32E+15,3.49E+14,1.77E+14,99.5,100.2,295.5,311.8
01P08CM106,CFM International,CFM56-5B5/3,Tech Insertion,TF,6,23.1,97.9,0.894,0.743,0.264,0.092,343,43.27,13.83,18.7,37.6,26.3,0.96,0.89,37.6,4.29E+14,3.88E+14,3.98E+13,5.30E+13,4.29E+14,46.2,33.1,1.48,1.53,1.34E+15,1.34E+15,2.25E+14,3.61E+14,99.5,100.2,295.5,311.8
01P08CM107,CFM International,CFM56-5B6/3,Tech Insertion,TF,5.9,24.3,104.5,0.965,0.8,0.28,0.095,361,43.27,13.83,18.7,43.5,30.8,1.08,0.84,43.5,4.31E+14,4.13E+14,4.57E+13,4.52E+13,4.31E+14,52.6,38.5,1.67,1.39,1.28E+15,1.38E+15,2.60E+14,2.92E+14,99.5,100.2,295.5,311.8
01P08CM108,CFM International,CFM56-5B7/3,Tech Insertion,TF,5.7,27.3,120.1,1.142,0.939,0.316,0.102,407,43.27,13.83,18.7,61.3,41.4,1.47,0.77,61.3,4.16E+14,4.33E+14,6.18E+13,3.18E+13,4.33E+14,71.7,50.5,2.26,1.18,1.09E+15,1.32E+15,3.49E+14,1.77E+14,99.5,100.2,295.5,311.8
01P08CM109,CFM International,CFM56-5B8/3,Tech Insertion,TF,6,22.7,96.1,0.875,0.727,0.26,0.091,338,43.27,13.83,18.7,36.2,25,0.93,0.9,36.2,4.27E+14,3.78E+14,3.83E+13,5.55E+13,4.27E+14,44.5,31.8,1.43,1.56,1.35E+15,1.32E+15,2.17E+14,3.85E+14,99.5,100.2,295.5,311.8
01P08CM110,CFM International,CFM56-5B9/3,Tech Insertion,TF,5.9,24.2,103.6,0.955,0.793,0.277,0.095,359,43.27,13.83,18.7,42.7,30.3,1.06,0.85,42.7,4.31E+14,4.11E+14,4.49E+13,4.61E+13,4.31E+14,51.7,37.9,1.64,1.42,1.29E+15,1.38E+15,2.55E+14,3.00E+14,99.5,100.2,295.5,311.8
01P22FC001,CFM International,CFM56-7B26/3 (Research Measurement),Tech Insertion,TF,5.1,27.7,117,1.213,0.986,0.331,0.108,429,43.3,13.98,17.7,69.1,46.7,1.1,1.8,69.1,4.52E+14,4.29E+14,7.14E+13,2.67E+13,4.52E+14,78.8,55.1,1.6,2.8,1.12E+15,1.28E+15,4.51E+14,1.79E+14,96.61,96.87,294.7,302.9
01P11CM111,CFM International,CFM56-7B20E,Tech Insertion,TF,5.5,22.4,91.6,0.896,0.746,0.268,0.094,348,43.27,13.83,18.7,33.5,22.7,0.95,0.91,33.5,4.22E+14,3.60E+14,3.93E+13,5.63E+13,4.20E+14,41.5,29.1,1.46,1.56,1.38E+15,1.29E+15,2.22E+14,3.81E+14,99.5,100.2,295.5,311.8
01P11CM112,CFM International,CFM56-7B22E,Tech Insertion,TF,5.3,24.2,101,1.004,0.832,0.291,0.099,377,43.27,13.83,18.7,41.5,29.3,1.13,0.83,41.5,4.31E+14,4.07E+14,4.79E+13,4.38E+13,4.31E+14,50.6,36.9,1.75,1.34,1.32E+15,1.38E+15,2.73E+14,2.69E+14,99.5,100.2,295.5,311.8
01P11CM113,CFM International,CFM56-7B22E/B1,Tech Insertion,TF,5.3,24.2,101,1.004,0.832,0.291,0.099,377,43.27,13.83,18.7,41.5,29.3,1.13,0.83,41.5,4.31E+14,4.07E+14,4.79E+13,4.38E+13,4.31E+14,50.6,36.9,1.75,1.34,1.32E+15,1.38E+15,2.73E+14,2.69E+14,99.5,100.2,295.5,311.8
01P11CM114,CFM International,CFM56-7B24E,Tech Insertion,TF,5.3,25.6,107.6,1.086,0.895,0.308,0.103,398,43.27,13.83,18.7,48.6,33.6,1.29,0.8,48.6,4.28E+14,4.24E+14,5.46E+13,3.69E+13,4.31E+14,58.3,41.7,2,1.24,1.24E+15,1.39E+15,3.10E+14,2.12E+14,99.5,100.2,295.5,311.8
01P11CM115,CFM International,CFM56-7B24E/B1,Tech Insertion,TF,5.3,25.6,107.6,1.086,0.895,0.308,0.103,398,43.27,13.83,18.7,48.6,33.6,1.29,0.8,48.6,4.28E+14,4.24E+14,5.46E+13,3.69E+13,4.31E+14,58.3,41.7,2,1.24,1.24E+15,1.39E+15,3.10E+14,2.12E+14,99.5,100.2,295.5,311.8
01P11CM116,CFM International,CFM56-7B26E,Tech Insertion,TF,5.1,27.7,117,1.213,0.986,0.331,0.108,429,43.27,13.83,18.7,61.8,40.3,1.57,0.75,61.8,4.15E+14,4.33E+14,6.54E+13,2.95E+13,4.33E+14,72.3,49.2,2.42,1.11,1.10E+15,1.34E+15,3.69E+14,1.54E+14,99.5,100.2,295.5,311.8
01P11CM117,CFM International,CFM56-7B26E/B1,Tech Insertion,TF,5.1,27.7,117,1.213,0.986,0.331,0.108,429,43.27,13.83,18.7,61.8,40.3,1.57,0.75,61.8,4.15E+14,4.33E+14,6.54E+13,2.95E+13,4.33E+14,72.3,49.2,2.42,1.11,1.10E+15,1.34E+15,3.69E+14,1.54E+14,99.5,100.2,295.5,311.8
01P11CM118,CFM International,CFM56-7B26E/B2,Tech Insertion,TF,5.1,27.7,117,1.213,0.986,0.331,0.108,429,43.27,13.83,18.7,61.8,40.3,1.57,0.75,61.8,4.15E+14,4.33E+14,6.54E+13,2.95E+13,4.33E+14,72.3,49.2,2.42,1.11,1.10E+15,1.34E+15,3.69E+14,1.54E+14,99.5,100.2,295.5,311.8
01P11CM119,CFM International,CFM56-7B26E/F,Tech Insertion,TF,5.1,27.7,117,1.213,0.986,0.331,0.108,429,43.27,13.83,18.7,61.8,40.3,1.57,0.75,61.8,4.15E+14,4.33E+14,6.54E+13,2.95E+13,4.33E+14,72.3,49.2,2.42,1.11,1.10E+15,1.34E+15,3.69E+14,1.54E+14,99.5,100.2,295.5,311.8
01P11CM120,CFM International,CFM56-7B26E/B2F,Tech Insertion,TF,5.1,27.7,117,1.213,0.986,0.331,0.108,429,43.27,13.83,18.7,61.8,40.3,1.57,0.75,61.8,4.15E+14,4.33E+14,6.54E+13,2.95E+13,4.33E+14,72.3,49.2,2.42,1.11,1.10E+15,1.34E+15,3.69E+14,1.54E+14,99.5,100.2,295.5,311.8
01P11CM121,CFM International,CFM56-7B27E,Tech Insertion,TF,5.1,29,121.4,1.293,1.031,0.343,0.11,445,43.27,13.83,18.7,70.8,44,1.72,0.74,70.8,4.02E+14,4.33E+14,7.10E+13,2.66E+13,4.33E+14,82.1,53.2,2.65,1.07,1.01E+15,1.30E+15,3.98E+14,1.34E+14,99.5,100.2,295.5,311.8
01P11CM122,CFM International,CFM56-7B27E/B1,Tech Insertion,TF,5.1,29,121.4,1.293,1.031,0.343,0.11,445,43.27,13.83,18.7,70.8,44,1.72,0.74,70.8,4.02E+14,4.33E+14,7.10E+13,2.66E+13,4.33E+14,82.1,53.2,2.65,1.07,1.01E+15,1.30E+15,3.98E+14,1.34E+14,99.5,100.2,295.5,311.8
01P11CM123,CFM International,CFM56-7B27E/B3,Tech Insertion,TF,5.1,29,121.4,1.293,1.031,0.343,0.11,445,43.27,13.83,18.7,70.8,44,1.72,0.74,70.8,4.02E+14,4.33E+14,7.10E+13,2.66E+13,4.33E+14,82.1,53.2,2.65,1.07,1.01E+15,1.30E+15,3.98E+14,1.34E+14,99.5,100.2,295.5,311.8
01P11CM124,CFM International,CFM56-7B27AE,Tech Insertion,TF,5.1,29,121.4,1.293,1.031,0.343,0.11,445,43.27,13.83,18.7,70.8,44,1.72,0.74,70.8,4.02E+14,4.33E+14,7.10E+13,2.66E+13,4.33E+14,82.1,53.2,2.65,1.07,1.01E+15,1.30E+15,3.98E+14,1.34E+14,99.5,100.2,295.5,311.8
01P11CM125,CFM International,CFM56-7B27E/F,Tech Insertion,TF,5.1,29,121.4,1.293,1.031,0.343,0.11,445,43.27,13.83,18.7,70.8,44,1.72,0.74,70.8,4.02E+14,4.33E+14,7.10E+13,2.66E+13,4.33E+14,82.1,53.2,2.65,1.07,1.01E+15,1.30E+15,3.98E+14,1.34E+14,99.5,100.2,295.5,311.8
01P11CM126,CFM International,CFM56-7B27E/B1F,Tech Insertion,TF,5.1,29,121.4,1.293,1.031,0.343,0.11,445,43.27,13.83,18.7,70.8,44,1.72,0.74,70.8,4.02E+14,4.33E+14,7.10E+13,2.66E+13,4.33E+14,82.1,53.2,2.65,1.07,1.01E+15,1.30E+15,3.98E+14,1.34E+14,99.5,100.2,295.5,311.8
01P20CM127,CFM International,LEAP-1A24/24E1/23,TAPS II,TF,11.1,29.98572,106.8013847,0.744720581,0.616069943,0.219155959,0.086940564,300.8242072,43.26,13.69,16.5,1.144063264,0.86605048,1.230604393,0.634958245,7.657522619,79049389725,68534626031,4.25E+13,3.69E+12,2.20E+14,1.354581502,1.035987181,1.850033576,0.788067431,1.07E+11,92348579067,2.76E+14,1.30E+13,97.8,98.8,274.6,279.8
01P20CM128,CFM International,LEAP-1A26/26E1,TAPS II,TF,10.8,33.27215,120.6357739,0.860940254,0.709926554,0.243730791,0.091100552,330.482046,43.26,13.69,16.5,1.357563364,1.082435584,1.973576267,0.574178973,7.603222645,89128532968,76682057125,6.89E+13,3.71E+12,2.19E+14,1.627025671,1.235175411,2.988555874,0.68386059,1.20E+11,1.00E+11,4.57E+14,1.09E+13,97.8,98.8,274.6,279.8
01P20CM129,CFM International,LEAP-1A26CJ,TAPS II,TF,10.8,33.27215,120.6357739,0.860940254,0.709926554,0.243730791,0.091100552,330.482046,43.26,13.69,16.5,1.357563364,1.082435584,1.973576267,0.574178973,7.603222645,89128532968,76682057125,6.89E+13,3.71E+12,2.19E+14,1.627025671,1.235175411,2.988555874,0.68386059,1.20E+11,1.00E+11,4.57E+14,1.09E+13,97.8,98.8,274.6,279.8
01P20CM130,CFM International,LEAP-1A29,TAPS II,TF,10.7,35.5023,130.2883858,0.945866435,0.777285192,0.261129424,0.094368016,352.2132026,43.26,13.69,16.5,1.821049822,1.157553052,2.937417985,0.582452189,7.57233816,1.17E+11,78699075841,9.85E+13,6.37E+12,2.18E+14,2.189466328,1.370354629,4.424721232,0.687331577,1.56E+11,1.07E+11,6.44E+14,1.79E+13,97.8,98.8,274.6,279.8
01P20CM131,CFM International,LEAP-1A29CJ,TAPS II,TF,10.7,35.5023,130.2883858,0.945866435,0.777285192,0.261129424,0.094368016,352.2132026,43.26,13.69,16.5,1.821049822,1.157553052,2.937417985,0.582452189,7.57233816,1.17E+11,78699075841,9.85E+13,6.37E+12,2.18E+14,2.189466328,1.370354629,4.424721232,0.687331577,1.56E+11,1.07E+11,6.44E+14,1.79E+13,97.8,98.8,274.6,279.8
01P20CM132,CFM International,LEAP-1A35A/33/33B2/32/30,TAPS II,TF,10.45,38.51118,143.0548288,1.061654457,0.869312169,0.283853704,0.0980881,380.481019,43.26,13.69,16.5,2.975456391,1.363594977,4.810871177,0.621810813,7.538040135,1.82E+11,89438008911,1.50E+14,1.15E+13,2.17E+14,3.585504085,1.635045706,7.066721194,0.769433511,2.44E+11,1.20E+11,9.22E+14,4.59E+13,97.8,98.8,274.6,279.8
01P20CM133,CFM International,LEAP-1B21,TAPS II,TF,8.5203,36.818,111.2678251,0.876656496,0.721968714,0.245381164,0.089059188,329.9432555,43.27,13.84,14.8,0.014330994,0.009869477,1.990428151,0.225902318,3.762691603,25857377175,29468736162,7.66E+13,2.48E+13,1.17E+14,0.015774062,0.009869477,3.136626854,0.512917797,40966407455,29468736162,5.60E+14,4.73E+14,98.02,98.16,290.6,296.5
01P20CM134,CFM International,LEAP-1B23,TAPS II,TF,8.4621,37.924,115.2400874,0.916194678,0.752107443,0.253482838,0.090699682,340.0857442,43.27,13.84,14.8,0.017136913,0.01194381,2.33834766,0.212637088,3.764629539,26129629859,28099642463,8.89E+13,2.30E+13,1.17E+14,0.018948706,0.01194381,3.623647604,0.482798706,40011969171,28099642463,6.24E+14,4.39E+14,98.02,98.16,290.6,296.5
01P20CM135,CFM International,LEAP-1B25,TAPS II,TF,8.3551,40.135,119.1500745,0.959827796,0.784488937,0.260135534,0.090543445,347.5456088,43.27,13.84,14.8,0.026280259,0.012745168,2.704051347,0.204646731,3.766411783,27125828562,26833798776,1.00E+14,2.17E+13,1.17E+14,0.02906917,0.014013984,4.12159997,0.464656367,41247182550,43093409083,6.75E+14,4.15E+14,98.02,98.16,290.6,296.5
01P20CM136,CFM International,LEAP-1B27,TAPS II,TF,8.3489,40.491,124.7148002,1.013540756,0.825992688,0.273100731,0.094601841,364.7227943,43.27,13.84,14.8,0.035428315,0.013213371,3.236561923,0.198418635,3.768756872,27971199359,26241112758,1.11E+14,2.00E+13,1.17E+14,0.039047718,0.014535018,4.8324903,0.418728789,45131667676,41535514743,7.13E+14,3.05E+14,98.02,98.16,290.6,296.5
01P20CM137,CFM International,LEAP-1B28B2C,TAPS II,TF,8.3489,40.491,124.7148002,1.013540756,0.825992688,0.273100731,0.094601841,364.7227943,43.27,13.84,14.8,0.035428315,0.013213371,3.236561923,0.198418635,3.768756872,27971199359,26241112758,1.11E+14,2.00E+13,1.17E+14,0.039047718,0.014535018,4.8324903,0.418728789,45131667676,41535514743,7.13E+14,3.05E+14,98.02,98.16,290.6,296.5
01P20CM138,CFM International,LEAP-1B28BBJ1,TAPS II,TF,8.2938,41.991,130.4085244,1.0747254,0.87256156,0.285171342,0.096910125,379.93751,43.27,13.84,14.8,0.055683165,0.014250849,3.809285913,0.202027603,3.809,29437187011,26005170966,1.18E+14,1.91E+13,1.17E+14,0.061429241,0.015692473,5.555439587,0.421650281,47977837018,41652139616,7.12E+14,2.81E+14,98.02,98.16,290.6,296.5
01P20CM139,CFM International,LEAP-1B28BBJ2,TAPS II,TF,8.3489,40.491,124.7148002,1.013540756,0.825992688,0.273100731,0.094601841,364.7227943,43.27,13.84,14.8,0.035428315,0.013213371,3.236561923,0.198418635,3.768756872,27971199359,26241112758,1.11E+14,2.00E+13,1.17E+14,0.039047718,0.014535018,4.8324903,0.418728789,45131667676,41535514743,7.13E+14,3.05E+14,98.02,98.16,290.6,296.5
01P20CM140,CFM International,LEAP-1B28/28B1/28B2/28B3,TAPS II,TF,8.2938,41.991,130.4085244,1.0747254,0.87256156,0.285171342,0.096910125,379.93751,43.27,13.84,14.8,0.055683165,0.014250849,3.809285913,0.202027603,3.809,29437187011,26005170966,1.18E+14,1.91E+13,1.17E+14,0.061429241,0.015692473,5.555439587,0.421650281,47977837018,41652139616,7.12E+14,2.81E+14,98.02,98.16,290.6,296.5
