ICAO,Manufacturer,Type,Year_of_first_flight,n_engine,winglets,WV,MTOM_kg,MLM_kg,MZFM_kg,OEM_i_kg,MPM_i_kg,MZFM_MTOM,OEM_i_MTOM,MPM_i_MTOM,Sref_m2,span_m,bf_m,delta_2,cos_sweep,AR,psi_0,Xo,wing_constant,j_2,j_1,CL_do,etaL_D_do,nominal_F00_ISA_kn,mf_max_T_O_SLS_kg_s,mf_idle_SLS_kg_s,M_des,CT_des,eta_1,eta_2,Mec,Tec,FL_max,MMO,pi_max_pa,pinf_co_pa
A30B,Airbus,A300B4-200,1973.0,2,no,6,165000.0,134000.0,124000.0,88505.0,35495.0,0.752,0.536,0.215,260.0,44.83,5.64,0.032,0.8829,7.73,8.774,1.02,0.72,0.868,0.073,0.535,4.299,466.2,4.8,0.4,0.753,0.0339,0.318,0.545,0.674,4.945,390.0,0.82,20883.0,37618.0
A306,Airbus,A300B4-600R,1983.0,2,no,0,170500.0,140000.0,130000.0,86220.0,43780.0,0.762,0.506,0.257,260.0,44.84,5.64,0.032,0.8829,7.73,7.804,1.015,0.721,0.871,0.076,0.519,5.328,524.9,5.08,0.42,0.753,0.0307,0.366,0.538,0.683,4.965,410.0,0.82,20883.0,37618.0
A310,Airbus,A310-200,1982.0,2,no,8,138600.0,122000.0,112000.0,79207.0,32793.0,0.808,0.571,0.237,219.0,43.89,5.64,0.033,0.8829,8.8,8.376,1.014,0.744,0.869,0.073,0.558,5.703,443.5,4.29,0.38,0.772,0.0329,0.387,0.536,0.686,5.195,410.0,0.84,21866.0,37237.0
A313,Airbus,A310-300,1982.0,2,no,0,150000.0,123000.0,113000.0,77397.0,35603.0,0.753,0.516,0.237,219.0,43.89,5.64,0.033,0.8829,8.8,8.213,1.01,0.746,0.869,0.074,0.55,5.656,480.3,4.51,0.39,0.772,0.0319,0.376,0.537,0.684,4.926,410.0,0.84,21866.0,37237.0
A318,Airbus,A318-100,2002.0,2,no,5,68000.0,57500.0,53000.0,38818.0,14182.0,0.779,0.571,0.209,122.4,34.1,3.95,0.027,0.9063,9.5,7.471,0.995,0.754,0.871,0.075,0.564,5.332,199.3,2.06,0.21,0.753,0.0309,0.34,0.532,0.689,6.117,410.0,0.82,20883.0,37618.0
A319,Airbus,A319-100,1995.0,2,no,6,73500.0,62500.0,58500.0,39725.0,18775.0,0.796,0.54,0.255,122.4,34.1,3.95,0.027,0.9063,9.5,7.701,0.995,0.755,0.871,0.075,0.569,5.062,212.5,1.99,0.21,0.753,0.0316,0.326,0.522,0.701,5.877,410.0,0.82,20883.0,37618.0
A320,Airbus,A320-200,1987.0,2,no,0,73500.0,64500.0,60500.0,41244.0,19256.0,0.823,0.561,0.262,122.4,34.1,3.95,0.027,0.9063,9.5,8.395,1.007,0.75,0.869,0.073,0.59,5.053,224.6,2.15,0.22,0.753,0.0347,0.344,0.522,0.701,5.706,410.0,0.82,20883.0,37618.0
A321,Airbus,A321-100,1993.0,2,no,8,89000.0,75500.0,71500.0,46856.0,24644.0,0.803,0.526,0.277,122.4,34.15,3.95,0.027,0.9063,9.53,8.631,1.009,0.748,0.869,0.073,0.591,5.019,269.3,2.69,0.25,0.753,0.0347,0.342,0.528,0.694,5.433,391.0,0.82,20883.0,37618.0
A332,Airbus,A330-200,1992.0,2,no,52,233000.0,182000.0,170000.0,116840.0,53160.0,0.73,0.501,0.228,361.6,60.3,5.64,0.017,0.8686,10.06,6.692,0.987,0.762,0.872,0.076,0.528,6.899,609.5,5.94,0.49,0.786,0.025,0.371,0.535,0.686,5.404,410.0,0.86,22875.0,36865.0
A333,Airbus,A330-300,1992.0,2,no,52,233000.0,187000.0,175000.0,120132.0,54868.0,0.751,0.516,0.235,361.6,60.3,5.64,0.017,0.8686,10.06,6.9,0.99,0.761,0.872,0.076,0.535,6.571,604.5,5.84,0.49,0.786,0.0258,0.36,0.534,0.687,5.511,410.0,0.86,22875.0,36865.0
A338,Airbus,A330-800,2018.0,2,no,800,242000.0,186000.0,174000.0,132000.0,42000.0,0.719,0.545,0.174,374.0,64.0,5.64,0.016,0.866,10.95,6.213,0.959,0.781,0.874,0.078,0.53,8.292,656.0,4.96,0.48,0.786,0.0229,0.399,0.445,0.763,6.243,414.5,0.86,22875.0,36865.0
A339,Airbus,A330-900,2017.0,2,no,900,242000.0,191000.0,181000.0,135000.0,46000.0,0.748,0.558,0.19,374.0,64.0,5.64,0.016,0.866,10.95,6.463,0.962,0.779,0.873,0.077,0.539,8.129,656.0,4.96,0.48,0.786,0.0239,0.401,0.445,0.763,6.229,414.5,0.86,22875.0,36865.0
A342,Airbus,A340-200,1991.0,4,no,1,257000.0,181000.0,169000.0,125242.0,43758.0,0.658,0.487,0.17,361.6,60.3,5.64,0.017,0.8686,10.06,7.077,0.982,0.767,0.872,0.076,0.538,6.741,579.5,5.52,0.48,0.786,0.0261,0.368,0.498,0.725,5.778,415.0,0.86,22875.0,36865.0
A343,Airbus,A340-300,1991.0,4,no,1,257000.0,186000.0,174000.0,125242.0,48758.0,0.677,0.487,0.19,361.6,60.3,5.64,0.017,0.8686,10.06,7.384,0.987,0.765,0.871,0.075,0.548,6.483,579.5,5.52,0.48,0.786,0.0273,0.363,0.498,0.725,5.891,415.0,0.86,22875.0,36865.0
A345,Airbus,A340-500,2002.0,4,no,1,372000.0,243000.0,230000.0,170370.0,59630.0,0.618,0.458,0.16,437.3,63.45,5.64,0.016,0.8563,9.21,6.731,0.985,0.762,0.874,0.078,0.512,6.994,1036.4,8.79,0.92,0.796,0.0245,0.374,0.479,0.74,5.022,414.5,0.86,22875.0,36865.0
A346,Airbus,A340-600,2001.0,4,no,1,368000.0,259000.0,245000.0,176364.0,68636.0,0.666,0.479,0.187,437.3,63.45,5.64,0.016,0.8563,9.21,7.057,0.991,0.759,0.873,0.077,0.523,7.091,1050.8,8.96,0.92,0.796,0.0258,0.39,0.479,0.74,5.103,415.0,0.86,22875.0,36865.0
A359,Airbus,A350-900,2013.0,2,no,9,275000.0,207000.0,195700.0,146600.0,49100.0,0.712,0.533,0.179,445.0,64.75,5.96,0.017,0.848,9.42,6.14,0.962,0.791,0.874,0.078,0.493,8.601,758.0,5.64,0.58,0.82,0.0225,0.428,0.445,0.764,6.119,431.0,0.89,24441.0,36319.0
A35K,Airbus,A350-1000,2016.0,2,yes,2,319000.0,236000.0,223000.0,155000.0,67300.0,0.699,0.486,0.211,465.0,64.75,5.96,0.017,0.848,9.02,6.183,0.967,0.789,0.874,0.078,0.5,8.074,873.0,7.01,0.65,0.82,0.0223,0.396,0.467,0.749,6.17,414.5,0.89,24441.0,36319.0
A388,Airbus,A380-800,2005.0,4,no,2,569000.0,391000.0,366000.0,275000.0,91000.0,0.643,0.483,0.16,845.0,79.8,7.142,0.016,0.866,7.54,6.132,0.967,0.794,0.876,0.082,0.446,7.478,1350.7,10.57,1.07,0.82,0.0216,0.398,0.47,0.747,5.981,431.0,0.89,24441.0,36319.0
B712,Boeing,B717-200,1998.0,2,no,HGW,54884.0,49898.0,45586.0,31071.0,14515.0,0.831,0.566,0.264,92.75,28.4,3.4,0.029,0.9063,8.7,8.722,1.02,0.692,0.867,0.072,0.579,4.569,179.0,1.82,0.2,0.7,0.0365,0.349,0.545,0.675,5.626,371.0,0.82,20883.0,37618.0
B732,Boeing,B737-200,1967.0,2,no,5,52390.0,46720.0,43092.0,27125.0,15967.0,0.823,0.518,0.305,99.0,28.35,3.76,0.035,0.9063,8.12,8.406,1.04,0.678,0.867,0.073,0.556,3.424,137.1,2.3,0.28,0.7,0.0358,0.276,0.627,0.557,4.631,370.0,0.82,20883.0,37618.0
B733,Boeing,B737-300,1984.0,2,no,3,61236.0,51710.0,48308.0,32904.0,15404.0,0.789,0.537,0.252,102.0,28.9,3.76,0.034,0.9063,8.19,9.2,1.024,0.715,0.867,0.072,0.578,3.942,187.3,2.01,0.23,0.729,0.0384,0.311,0.534,0.688,5.642,390.0,0.82,20883.0,37618.0
B734,Boeing,B737-400,1988.0,2,no,6,68039.0,56246.0,53070.0,33643.0,19427.0,0.78,0.494,0.286,102.5,28.9,3.76,0.034,0.9063,8.15,8.898,1.017,0.718,0.868,0.073,0.565,4.129,190.1,2.05,0.24,0.729,0.0365,0.316,0.534,0.688,5.65,370.0,0.82,20883.0,37618.0
B735,Boeing,B737-500,1989.0,2,no,3,60555.0,49895.0,46494.0,31312.0,15182.0,0.768,0.517,0.251,103.7,28.9,3.76,0.034,0.9063,8.05,8.335,1.009,0.721,0.87,0.074,0.55,4.109,187.3,2.01,0.23,0.729,0.0346,0.306,0.534,0.688,5.621,370.0,0.82,20883.0,37618.0
B736,Boeing,B737-600,1997.0,2,no,3,65544.0,55112.0,51936.0,36378.0,15558.0,0.792,0.555,0.237,124.6,34.3,3.76,0.024,0.9063,9.44,7.425,0.994,0.759,0.871,0.075,0.564,5.03,190.0,1.88,0.2,0.758,0.031,0.32,0.527,0.695,6.209,410.0,0.82,20883.0,37618.0
B737,Boeing,B737-700,1997.0,2,no,3,70080.0,58604.0,55202.0,37648.0,17554.0,0.788,0.537,0.25,124.6,34.3,3.76,0.024,0.9063,9.44,7.611,0.997,0.758,0.871,0.075,0.567,5.086,214.1,2.18,0.21,0.758,0.0315,0.327,0.531,0.691,5.936,410.0,0.82,20883.0,37618.0
B738,Boeing,B737-800,1997.0,2,no,3,79016.0,66361.0,61689.0,41413.0,20276.0,0.781,0.524,0.257,124.6,34.3,3.76,0.024,0.9063,9.44,8.182,1.005,0.754,0.87,0.074,0.581,4.999,233.4,2.43,0.22,0.758,0.0335,0.334,0.533,0.688,5.86,410.0,0.82,20883.0,37618.0
B739,Boeing,B737-900ER,2006.0,2,no,2,85139.0,71350.0,67721.0,44676.0,23045.0,0.795,0.525,0.271,124.6,34.32,3.76,0.024,0.9063,9.45,7.928,1.0,0.756,0.87,0.075,0.571,5.022,233.4,2.43,0.22,0.758,0.032,0.326,0.533,0.688,5.947,410.0,0.82,20883.0,37618.0
B37M,Boeing,B737 MAX 7,2018.0,2,yes,,80285.0,66043.0,62913.0,42033.0,20880.0,0.784,0.524,0.26,121.9,33.26,3.76,0.026,0.9063,9.08,7.585,0.976,0.779,0.872,0.076,0.573,6.239,248.0,2.0,0.19,0.763,0.0305,0.376,0.458,0.755,6.281,410.0,0.82,20883.0,37618.0
B38M,Boeing,B737 MAX 8,2016.0,2,yes,,82644.0,69308.0,65952.0,45072.0,20880.0,0.798,0.545,0.253,121.9,33.26,3.76,0.026,0.9063,9.08,7.869,0.979,0.777,0.872,0.075,0.581,6.153,248.0,2.0,0.19,0.763,0.0316,0.379,0.458,0.755,6.253,410.0,0.82,20883.0,37618.0
B39M,Boeing,B737 MAX 9,2017.0,2,yes,,88314.0,74343.0,70987.0,50107.0,20880.0,0.804,0.567,0.236,121.9,33.26,3.76,0.026,0.9063,9.08,8.058,0.994,0.769,0.872,0.076,0.599,6.184,248.0,2.0,0.19,0.763,0.0331,0.387,0.458,0.755,6.234,410.0,0.82,20883.0,37618.0
B742,Boeing,B747-200B,1971.0,4,no,4,371900.0,285700.0,238780.0,175970.0,62810.0,0.642,0.473,0.169,511.0,59.64,6.5,0.024,0.7934,6.96,7.019,1.038,0.692,0.868,0.074,0.458,5.305,882.3,9.11,0.9,0.81,0.0259,0.336,0.541,0.679,4.622,450.0,0.9,24977.0,36141.0
B743,Boeing,B747-300,1980.0,4,no,0,377800.0,260320.0,242630.0,174820.0,67810.0,0.642,0.463,0.179,511.0,59.64,6.5,0.024,0.7826,6.96,6.882,1.042,0.683,0.867,0.073,0.453,5.367,898.8,9.19,0.91,0.81,0.0253,0.337,0.542,0.679,4.992,450.0,0.9,24977.0,36141.0
B744,Boeing,B747-400,1985.0,4,no,5,396894.0,285764.0,246075.0,178756.0,67319.0,0.62,0.45,0.17,547.0,64.44,6.5,0.02,0.7934,7.59,6.688,1.029,0.698,0.869,0.074,0.465,6.044,1021.3,9.79,0.82,0.81,0.0245,0.357,0.537,0.684,4.991,450.0,0.92,26070.0,35788.0
B748,Boeing,B747-8F,2010.0,4,no,1,442253.0,345184.0,328854.0,197131.0,131723.0,0.744,0.446,0.298,594.0,68.4,6.5,0.018,0.7934,7.88,6.249,0.998,0.732,0.872,0.077,0.458,6.983,1199.2,9.81,0.87,0.83,0.0224,0.374,0.468,0.749,5.602,421.0,0.9,24977.0,36141.0
B752,Boeing,B757-200,1982.0,2,no,4,113400.0,89800.0,83450.0,62100.0,21350.0,0.736,0.548,0.188,189.0,38.06,3.76,0.02,0.9063,7.66,7.102,0.986,0.77,0.874,0.078,0.496,5.469,358.0,3.64,0.35,0.772,0.0279,0.354,0.542,0.678,4.94,420.0,0.86,22875.0,36865.0
B753,Boeing,B757-300,1998.0,2,no,2,122470.0,101610.0,95270.0,64580.0,30690.0,0.778,0.527,0.251,189.0,38.06,3.76,0.02,0.9063,7.66,7.594,0.992,0.767,0.873,0.077,0.509,5.106,358.0,3.64,0.35,0.772,0.0297,0.343,0.542,0.678,5.594,430.0,0.86,22875.0,36865.0
B762,Boeing,B767-200ER,1984.0,2,no,6,179169.0,136078.0,117934.0,82377.0,35557.0,0.658,0.46,0.198,283.3,47.57,5.03,0.022,0.8526,7.99,6.963,0.999,0.726,0.871,0.076,0.488,5.848,504.4,4.86,0.41,0.772,0.0263,0.362,0.538,0.683,5.042,430.0,0.86,22875.0,36865.0
B763,Boeing,B767-300,1986.0,2,no,2,158758.0,136078.0,126299.0,86069.0,40230.0,0.796,0.542,0.253,283.3,47.57,5.03,0.022,0.8526,7.99,6.297,0.989,0.73,0.873,0.077,0.47,6.027,504.4,4.86,0.41,0.772,0.024,0.355,0.538,0.683,4.895,431.0,0.86,22875.0,36865.0
B764,Boeing,B767-400ER,1999.0,2,no,1,204116.0,158757.0,149685.0,103147.0,46538.0,0.733,0.505,0.228,283.3,51.92,5.03,0.019,0.8526,9.52,7.202,1.016,0.723,0.87,0.075,0.544,6.226,512.8,4.86,0.4,0.772,0.0278,0.366,0.534,0.688,5.607,450.0,0.86,22875.0,36865.0
B77L,Boeing,B777-200LR,2005.0,2,no,1,347450.0,223168.0,209107.0,145150.0,63957.0,0.602,0.418,0.184,427.8,64.8,6.2,0.018,0.8517,9.82,6.504,0.986,0.772,0.873,0.078,0.519,7.397,1006.5,9.01,0.75,0.811,0.0239,0.377,0.486,0.735,5.078,431.0,0.89,24441.0,36319.0
B772,Boeing,B777-200,1994.0,2,no,6,286900.0,206350.0,195030.0,135600.0,59430.0,0.68,0.473,0.207,427.8,60.93,6.2,0.021,0.8517,8.68,6.462,0.976,0.774,0.873,0.078,0.484,6.827,781.2,6.89,0.57,0.811,0.0235,0.368,0.49,0.731,5.441,431.0,0.89,24441.0,36319.0
B77W,Boeing,B777-300ER,1994.0,2,no,1,351530.0,251290.0,237673.0,167820.0,69853.0,0.676,0.477,0.199,427.8,64.8,6.2,0.018,0.8517,9.82,7.159,0.998,0.767,0.872,0.076,0.542,7.171,1027.8,9.38,0.76,0.811,0.0264,0.388,0.489,0.732,5.045,431.0,0.89,24441.0,36319.0
B773,Boeing,B777-300,1997.0,2,no,4,299370.0,237680.0,224530.0,159570.0,64960.0,0.75,0.533,0.217,427.8,60.93,6.2,0.021,0.8517,8.68,7.069,0.989,0.767,0.872,0.076,0.503,6.693,744.8,6.87,0.56,0.811,0.0258,0.382,0.507,0.716,5.802,431.0,0.89,24441.0,36319.0
B788,Boeing,B787-8,2009.0,2,no,1,227930.0,172365.0,161025.0,117707.0,43318.0,0.706,0.516,0.19,360.0,60.12,5.77,0.018,0.8462,10.04,6.383,0.968,0.784,0.873,0.077,0.508,7.98,633.0,4.82,0.45,0.815,0.0238,0.409,0.445,0.764,6.06,431.0,0.9,24977.0,36141.0
B789,Boeing,B787-9,2013.0,2,no,1,254011.0,192777.0,181437.0,128850.0,52587.0,0.714,0.507,0.207,360.0,60.12,5.77,0.018,0.8462,10.04,6.478,0.968,0.784,0.873,0.077,0.509,7.938,633.0,4.82,0.45,0.815,0.0239,0.408,0.445,0.764,6.126,431.0,0.9,24977.0,36141.0
B78X,Boeing,B787-10,2017.0,2,no,,254011.0,201848.0,192776.0,135500.0,57276.0,0.759,0.533,0.225,377.0,60.12,5.77,0.018,0.8462,9.59,6.607,0.971,0.782,0.873,0.077,0.513,7.635,689.0,5.33,0.47,0.815,0.0243,0.397,0.448,0.762,6.185,411.0,0.9,24977.0,36141.0
BCS1,Airbus,A220-100,2013.0,2,yes,,60781.0,51029.0,48987.0,35222.0,13765.0,0.806,0.579,0.226,115.0,32.5,3.51,0.023,0.8988,9.18,7.341,0.961,0.776,0.873,0.076,0.576,6.222,201.0,1.44,0.15,0.754,0.0304,0.367,0.393,0.785,6.227,410.0,0.82,20883.0,37618.0
BCS3,Airbus,A220-300,2013.0,2,yes,,70896.0,61008.0,58060.0,37082.0,20978.0,0.819,0.523,0.296,115.0,32.5,3.51,0.023,0.8988,9.18,7.724,0.964,0.775,0.872,0.075,0.585,6.19,201.0,1.44,0.15,0.754,0.0316,0.373,0.393,0.785,6.258,410.0,0.82,20883.0,37618.0
E135,Embraer,EMB-135LR,1995.0,2,no,0,20000.0,18500.0,15999.0,11500.0,4499.0,0.8,0.575,0.225,51.18,20.04,2.25,0.025,0.9239,7.85,8.018,1.012,0.709,0.869,0.074,0.562,3.429,66.1,0.72,0.09,0.704,0.037,0.273,0.541,0.68,6.609,370.0,0.78,18996.0,38408.0
E145,Embraer,EMB-145LR,1995.0,2,no,0,22000.0,19300.0,17900.0,12114.0,5786.0,0.814,0.551,0.263,51.18,20.04,2.25,0.025,0.9239,7.85,8.38,1.018,0.706,0.868,0.073,0.57,3.686,74.3,0.82,0.1,0.704,0.0382,0.299,0.543,0.678,6.404,370.0,0.78,18996.0,38408.0
E170,Embraer,EMB-170LR,2002.0,2,no,0,37200.0,32800.0,29800.0,20700.0,9100.0,0.801,0.556,0.245,72.72,25.3,3.15,0.031,0.9239,8.8,8.144,1.005,0.742,0.87,0.074,0.579,4.094,120.1,1.32,0.13,0.733,0.0355,0.296,0.533,0.688,6.314,410.0,0.82,20883.0,37618.0
E195,Embraer,EMB-195STD,2004.0,2,no,0,48790.0,45000.0,42500.0,28700.0,13800.0,0.871,0.588,0.283,92.53,27.73,3.0,0.023,0.9239,8.31,8.034,1.001,0.765,0.871,0.075,0.56,4.2,162.0,1.67,0.17,0.758,0.0344,0.299,0.534,0.687,6.264,410.0,0.82,20883.0,37618.0
MD82,Boeing,MD-82,1981.0,2,no,0,67812.0,58967.0,55338.0,35369.0,19969.0,0.816,0.522,0.294,112.3,32.85,3.35,0.021,0.9239,9.61,8.956,1.035,0.715,0.866,0.072,0.612,4.023,185.5,2.62,0.27,0.72,0.0376,0.302,0.611,0.583,5.328,370.0,0.84,21866.0,37237.0
MD83,Boeing,MD-83,1984.0,2,no,0,72575.0,63276.0,55338.0,36145.0,19193.0,0.762,0.498,0.264,112.3,32.85,3.35,0.021,0.9239,9.61,8.856,1.031,0.716,0.867,0.072,0.607,3.903,193.0,2.71,0.27,0.72,0.0368,0.289,0.611,0.582,5.312,370.0,0.84,21866.0,37237.0
GLF5,Gulfstream,G-550,1995.0,2,no,0,41277.0,34155.0,23587.0,22882.0,705.0,0.571,0.554,0.017,105.56,28.5,2.5,0.015,0.9063,7.69,6.702,0.995,0.765,0.873,0.077,0.508,5.514,137.5,1.49,0.17,0.772,0.0293,0.368,0.558,0.659,6.331,510.0,0.885,24176.0,36409.0
CRJ9,Bombardier,CRJ-9,1999.0,2,no,0,38329.0,34065.0,32092.0,21350.0,10742.0,0.837,0.557,0.28,76.15,23.25,2.69,0.027,0.8988,7.1,7.351,1.001,0.739,0.872,0.076,0.504,4.13,120.9,1.33,0.13,0.753,0.0316,0.301,0.533,0.688,6.159,410.0,0.85,22367.0,37050.0
DC93,Boeing,DC-9-32,1967.0,2,no,0,48988.0,44906.0,39463.0,25789.0,13674.0,0.806,0.526,0.279,93.0,28.44,3.35,0.028,0.9135,8.7,7.952,1.03,0.719,0.868,0.074,0.565,3.289,130.5,2.13,0.27,0.733,0.0343,0.242,0.627,0.556,4.673,370.0,0.84,21866.0,37237.0
RJ1H,BAESystems,RJ-100,1987.0,4,no,0,44225.0,40142.0,37421.0,25640.0,11781.0,0.846,0.58,0.266,77.3,26.34,3.5,0.035,0.9659,8.98,9.769,1.008,0.689,0.869,0.073,0.621,3.251,124.0,1.43,0.18,0.65,0.0414,0.273,0.534,0.688,5.79,350.0,0.734,16955.0,39369.0
B722,Boeing,727-200,1967.0,3,no,0,83820.0,70100.0,63560.0,44390.0,19170.0,0.758,0.53,0.229,157.9,32.92,3.76,0.026,0.848,6.86,7.902,1.058,0.687,0.865,0.072,0.499,3.423,203.8,3.41,0.42,0.77,0.0328,0.265,0.627,0.557,4.896,420.0,0.9,24977.0,36141.0
A20N,Airbus,A320-NEO,2014.0,2,yes,54,79000.0,66300.0,62800.0,43600.0,19200.0,0.795,0.552,0.243,122.4,35.1,3.59,0.021,0.9063,10.07,7.531,0.956,0.786,0.873,0.076,0.598,6.521,255.8,1.77,0.18,0.753,0.0303,0.368,0.385,0.787,6.316,410.0,0.82,20883.0,37618.0
A21N,Airbus,A321-NEO,2016.0,2,yes,52,93500.0,77300.0,73000.0,48000.0,25000.0,0.781,0.513,0.267,122.4,35.27,3.95,0.025,0.9063,10.16,8.035,0.96,0.785,0.872,0.075,0.61,5.857,255.8,1.77,0.18,0.753,0.0316,0.339,0.385,0.787,6.469,391.0,0.82,20883.0,37618.0
light-low-7,N/A,N/A,2014.3141090629879,2,yes,N/A,81277.29070666223,68027.59984643341,64401.95622123825,44291.03993857336,20110.91628266489,0.7928012365590847,0.5458748732717361,0.24676930875585473,122.39999999999999,35.12669927035397,3.6465396313378204,0.021628218125975786,0.9063,10.084134907834455,7.610155483872949,0.9566282181259758,0.7858429454685061,0.872842945468506,0.07584294546850605,0.5998846543779274,6.416715791088019,255.8,1.7700000000000002,0.18,0.753,0.03050417089094213,0.3634454185866755,0.385,0.7869999999999999,6.340029343318574,407.015963901615,0.82,20882.999999999996,37618.0
light-nominal-7,N/A,N/A,1993.7369470146698,2,no,N/A,84447.44097676154,71482.1566453522,66763.84034103448,45239.77566529877,21524.06467573572,0.7922005664198453,0.5357902801034155,0.25628218722677387,136.74122205048903,35.24875937215032,3.9040244441623058,0.024686588643195805,0.9028263979069118,9.296485939318869,8.008114136045778,1.0024798433489148,0.7523360402061059,0.8702021180529647,0.07426505527675625,0.5707066389032321,5.107766485691707,253.6754509787533,2.5499379225045455,0.23804410085010033,0.75784082877625,0.03265738400932274,0.3373827565968068,0.5303120483768798,0.6913137235560121,5.7143600850911085,410.6275652054559,0.8241974113973618,21092.031087588617,37538.98373044466
